,folder,Model,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
47,CFD,AF-247,F,4.071428571,3.178571429,-292.65186131659874,-273.57529335281606,,757.6093139648438,1453.0284423828125,1132.27490234375
48,CFD,AF-248,F,5.464285714,4.137931034,-326.31927327710366,-283.5742583035518,,128.74522399902344,783.3825073242188,461.5309143066406
49,CFD,AF-249,F,5.24,4.56,-293.6632490784539,-266.9299995874385,,174.45663452148438,856.6043701171875,533.4659423828125
50,CFD,AF-250,F,4.892857143,3.964285714,-290.4473237173301,-268.64311567662224,,88.17418670654297,749.7889404296875,424.2477722167969
51,CFD,AF-251,F,5.25,4.607142857,-292.8875135036667,-282.46095012822855,,164.74624633789062,867.3236083984375,541.05419921875
52,CFD,AF-252,F,5.586206897,4.206896552,-296.84724192323205,-336.1367012055816,,396.36102294921875,1104.0443115234375,777.6439819335938
53,CFD,AF-253,F,5.586206897,4.535714286,-274.7631385007995,-289.80995869311084,,513.9501953125,1229.25244140625,901.1248779296875
54,CFD,AF-254,F,5.4,3.84,-310.0800348954423,-375.9524158311707,,597.6510620117188,1310.7828369140625,983.814208984375
55,CFD,AF-255,F,5.48,4.8,-285.2153371070939,-315.6470879537703,,568.6309204101562,195.63259887695312,201.04022216796875
56,CFD,AF-256,F,4.409090909,3.454545455,-277.0896822309155,-307.76519293802016,,834.6681518554688,189.7929229736328,457.4884033203125
57,CFD,AM-201,M,1.541666667,3.04,-280.6019580001937,,-292.9358281527633,559.6153564453125,196.6632843017578,190.50799560546875
58,CFD,AM-202,M,1.538461538,2.777777778,-300.29356512356475,,-303.060184265033,185.1849822998047,571.4241333007812,253.73379516601562
59,CFD,AM-203,M,2.083333333,2.458333333,-347.9686095002939,,-296.8603708318667,601.9224243164062,165.8313751220703,228.91830444335938
60,CFD,AM-204,M,2.130434783,3.041666667,-300.54295525870987,,-303.51322161000337,670.8772583007812,81.59880065917969,287.4501647949219
61,CFD,AM-205,M,1.416666667,2.625,-272.9150271462782,,-277.06785564899803,513.0509643554688,233.95474243164062,147.1932373046875
62,CFD,AM-206,M,1.428571429,2.285714286,-336.9139569273488,,-302.80814782366883,612.5702514648438,182.85391235351562,249.2535858154297
63,CFD,AM-207,M,1.458333333,2.958333333,-300.60139366029273,,-280.8416129194249,474.7585144042969,297.02691650390625,148.2428741455078
64,CFD,AM-208,M,1.464285714,2.964285714,-297.6256793382219,,-274.950472953231,655.7816772460938,99.88449096679688,272.35009765625
65,CFD,AM-209,M,1.428571429,2.857142857,-270.74461389066886,,-282.5349029980151,684.1788940429688,101.21965026855469,304.13592529296875
66,CFD,AM-210,M,2.285714286,3.80952381,-268.4130616149584,,-319.1647963044819,332.7885437011719,400.477783203125,100.95647430419922
67,CFD,AM-211,M,1.428571429,3.428571429,-292.1450650914961,,-359.35637359223256,798.843505859375,141.73822021484375,418.2665710449219
68,CFD,AM-212,M,1.259259259,1.846153846,-315.44266462058414,,-305.2132416080242,513.4456787109375,232.2086639404297,150.55352783203125
69,CFD,AM-213,M,1.285714286,2.142857143,-283.9965476424785,,-273.56992793532356,449.41253662109375,286.0241394042969,97.32585144042969
70,CFD,AM-214,M,1.925925926,3.888888889,-300.2102902702132,,-360.13099671888403,912.5866088867188,207.97293090820312,527.0094604492188
71,CFD,AM-215,M,1.407407407,3.076923077,-275.19913712444577,,-314.9586546493947,393.6029968261719,368.112548828125,130.27682495117188
72,CFD,AM-216,M,1.6,4.12,-322.6766430864633,,-301.16977540861956,693.3126831054688,178.695068359375,333.08966064453125
73,CFD,AM-217,M,1.384615385,2.538461538,-285.70731860254494,,-274.14999462918496,403.08929443359375,331.9237365722656,76.72126770019531
74,CFD,AM-218,M,1.25,3.214285714,-317.90029044125913,,-272.02809965685634,458.421875,303.05572509765625,129.32176208496094
75,CFD,AM-219,M,1.466666667,2.517241379,-327.16997146556855,,-287.20187607844736,847.1465454101562,168.2872314453125,464.7113342285156
76,CFD,AM-220,M,1.344827586,2.344827586,-296.49771932179914,,-331.50926419461985,715.6593627929688,168.92739868164062,348.02117919921875
77,CFD,AM-221,M,1.807692308,3.230769231,-297.47919087586183,,-280.22604150546357,828.2332153320312,127.53473663330078,442.0591125488281
78,CFD,AM-223,M,1.259259259,2.222222222,-301.5702059845512,,-307.13925095480056,499.9133605957031,304.23095703125,188.3693084716797
79,CFD,AM-224,M,1.48,1.52,-283.56062146336467,,-269.88144757991995,793.2643432617188,139.6951141357422,412.4621276855469
80,CFD,AM-225,M,1.48,3.52,-298.05726113325636,,-332.2949307197225,753.7999877929688,106.84353637695312,371.3372497558594
81,CFD,AM-226,M,1.272727273,1.80952381,-272.46972200750207,,-287.09331850997626,498.5728759765625,241.00680541992188,132.2054443359375
82,CFD,AM-227,M,1.038461538,2.384615385,-301.0814081281297,,-305.4378562907076,1054.8489990234375,346.284423828125,668.808349609375
83,CFD,AM-228,M,1.535714286,3.428571429,-299.28265706756093,,-326.17899355546945,861.010986328125,206.48141479492188,485.1787414550781
